Date,Open,High,Low,Close,Volume
2025-09-26,329.25,329.5,319.25,319.75,54508756
2025-09-29,318.0,324.5,316.5,319.25,37562966
2025-09-30,321.25,323.75,314.0,315.0,33491387
2025-10-01,315.5,318.75,311.75,315.75,44237945
2025-10-02,315.75,318.5,314.5,315.0,39859117
2025-10-03,316.0,317.25,310.75,311.0,31181374
2025-10-06,312.5,317.0,304.0,305.5,40200172
2025-10-07,306.25,314.5,305.5,313.75,32264093
2025-10-08,313.5,316.75,307.5,310.25,41143341
2025-10-09,316.75,318.25,310.75,312.5,37074561
2025-10-10,313.25,317.75,310.75,313.75,36347821
2025-10-13,309.5,312.25,307.75,309.0,29718699
2025-10-14,309.25,310.25,300.25,302.0,31639213
2025-10-15,302.75,306.25,298.0,300.75,41747312
2025-10-16,299.25,302.0,295.5,296.0,38875850
2025-10-17,295.0,296.0,287.75,292.0,57747825
2025-10-20,293.25,300.25,290.0,297.75,51523112
2025-10-21,298.5,298.75,293.0,294.5,30462184
2025-10-22,295.5,296.0,287.0,288.0,42484656
2025-10-23,288.5,290.25,283.75,284.25,40555813
2025-10-24,287.0,302.25,287.0,297.0,84622262
2025-10-27,297.0,298.5,293.0,295.0,27751916
2025-10-28,294.75,295.75,292.0,292.0,10268579
2025-10-30,292.75,294.75,289.5,290.0,27637939
2025-10-31,290.25,293.25,289.0,291.5,28385482
2025-11-03,293.25,295.75,292.25,294.0,41693246
2025-11-04,294.0,295.0,288.25,289.0,29538148
2025-11-05,289.5,292.0,287.25,290.0,37593637
2025-11-06,291.75,294.5,288.0,292.5,33000037
2025-11-07,296.0,298.25,288.0,289.5,42808807
2025-11-10,291.0,291.5,278.25,278.25,43267774
2025-11-11,278.25,281.0,266.5,273.0,54581700
2025-11-12,275.25,275.5,268.0,268.0,37544314
2025-11-13,269.25,274.5,269.25,271.0,34972867
2025-11-14,270.5,271.0,267.0,269.0,28455584
2025-11-17,270.75,271.5,266.75,268.5,29682554
2025-11-18,267.5,269.75,266.75,267.5,22734301
2025-11-19,268.75,278.75,268.5,277.5,45678395
2025-11-20,279.0,280.75,273.75,276.25,31112755
2025-11-21,276.25,276.25,271.5,273.0,27542702
2025-11-24,272.25,273.25,270.0,270.25,33487074
2025-11-25,271.0,279.0,270.0,273.25,53946056
2025-11-26,273.75,275.25,272.75,274.25,32243168
2025-11-27,276.0,276.5,272.5,272.5,24662646
2025-11-28,272.75,276.75,271.5,272.75,31495812
2025-12-01,272.0,277.25,271.5,276.5,29348256
2025-12-02,277.0,281.75,276.25,279.0,38452648
2025-12-03,281.25,283.5,275.5,275.5,35791929
2025-12-04,275.5,277.25,269.25,270.0,31922352
2025-12-05,270.0,271.75,267.75,270.25,25259577
2025-12-08,271.75,273.75,271.75,272.25,30892643
2025-12-09,273.0,273.25,270.5,271.5,27160617
2025-12-10,272.0,275.75,270.25,270.5,37191224
2025-12-11,271.25,272.5,269.25,269.5,27746236
2025-12-12,270.75,274.5,270.75,272.25,27438909
2025-12-15,273.25,276.25,272.0,274.25,34556393
2025-12-16,274.5,276.0,272.25,273.25,36677565
2025-12-17,273.25,275.0,271.0,274.0,35624064
2025-12-18,274.5,277.25,273.25,274.5,38604691
2025-12-19,275.0,277.75,273.75,277.25,38159581
2025-12-22,277.75,278.5,271.75,272.0,31216523
2025-12-23,271.75,272.0,270.0,270.5,23713128
2025-12-24,271.0,272.5,269.25,271.25,26074191
2025-12-25,272.5,273.5,271.0,271.25,12977291
2025-12-26,271.25,271.5,267.25,268.0,22195231
2025-12-29,268.25,269.0,262.75,264.5,31535713
2025-12-30,265.0,269.75,264.75,267.75,32525018
2025-12-31,268.5,269.75,267.25,268.5,20565368
2026-01-02,271.0,274.25,269.75,274.25,28891002
2026-01-05,274.25,279.0,272.5,277.75,38929858
2026-01-06,279.0,289.25,279.0,288.5,60291603
2026-01-07,289.5,295.25,287.5,290.75,71173468
2026-01-08,291.0,295.75,286.5,294.5,60705169
2026-01-09,296.0,298.0,290.25,291.5,51357969
2026-01-12,291.75,294.5,289.25,291.5,49228010
2026-01-13,292.0,292.5,285.75,287.0,50345679
2026-01-14,288.5,289.0,279.5,280.25,47676029
2026-01-15,280.75,288.75,280.5,287.75,52640730
2026-01-16,290.5,295.5,288.5,292.0,52808497
2026-01-19,294.25,299.75,292.5,295.75,72954364
2026-01-20,295.75,296.75,291.5,292.0,44544516
2026-01-21,292.5,297.0,290.0,297.0,52547045
2026-01-22,299.0,301.0,294.75,299.0,63538093
2026-01-23,300.5,304.25,299.5,301.0,50706805
2026-01-26,299.0,302.75,296.0,299.25,46066314
2026-01-27,299.75,301.0,293.75,294.25,47513693
2026-01-28,294.25,303.0,294.25,298.0,92400525
2026-01-29,300.0,307.25,298.0,302.25,104308213
2026-01-30,302.25,308.25,298.5,304.0,83271865
2026-02-02,300.25,310.0,298.0,305.75,94704808
2026-02-03,308.0,319.25,308.0,318.75,84532266
2026-02-04,320.0,322.75,315.0,320.5,67172321
2026-02-05,318.5,322.0,316.0,317.0,64928341
2026-02-06,317.0,324.5,311.75,322.5,67707854
2026-02-09,326.5,329.75,321.75,329.5,63946715
2026-02-10,329.0,333.25,327.75,333.0,52371004
2026-02-11,330.5,337.75,329.0,331.0,61366265
2026-02-12,332.25,341.25,331.0,337.0,70648552
2026-02-13,337.5,351.25,337.25,347.75,79364384
2026-02-16,349.75,352.5,345.0,347.75,60497306
2026-02-17,346.25,350.75,343.0,345.0,59808917
2026-02-18,345.75,350.0,324.75,328.25,94434599
2026-02-19,330.5,331.0,310.25,312.5,81994623
2026-02-20,314.5,320.5,313.75,320.5,49745507
2026-02-23,325.75,326.0,315.25,315.75,58340211
2026-02-24,315.75,316.0,307.25,308.5,60541603
2026-02-25,309.25,311.0,305.5,307.0,36524474
2026-02-26,307.75,316.25,302.5,311.5,68383970
2026-02-27,313.25,314.0,303.5,307.5,60671396
2026-03-02,282.5,292.5,282.25,289.0,54215665
2026-03-03,286.0,295.25,285.0,287.0,42900149
2026-03-04,288.0,292.0,282.0,287.75,46550560
2026-03-05,293.25,295.25,283.75,284.25,42754331
2026-03-06,284.0,286.0,276.0,276.75,56263294
2026-03-09,267.0,282.0,263.5,282.0,51377626
2026-03-10,294.0,297.0,288.75,297.0,61941889
2026-03-11,296.0,296.25,289.5,294.75,40619946
2026-03-12,290.0,297.75,289.25,292.75,41475379
2026-03-13,291.25,293.5,286.75,292.25,26218061
2026-03-16,292.5,293.5,288.25,290.0,28395392
2026-03-17,291.0,296.0,291.0,294.75,22876482
2026-03-18,297.25,298.0,289.25,290.75,24386487
2026-03-19,289.0,291.5,287.75,289.5,11565613
2026-03-23,281.25,296.25,279.5,295.5,75513242
2026-03-24,292.25,296.5,290.75,291.0,40807369
2026-03-25,295.75,299.5,292.75,294.5,66108591
2026-03-26,292.5,296.5,291.75,293.5,31352265
