sembol,fiyat,piyasa_deger_m,fk,fk_ileri,pd_dd,fd_favok,fiyat_satis,roe_pct,roa_pct,kar_marji_pct,favok_marji_pct,gelir_buyume_pct,kazanc_buyume_pct,borc_oz,guncel_oran,temettu_pct,puan,skor,karar,renk
THYAO.IS,291.5,400422.207488,310.10638,4.047487,18.874643,144.332,,14.315,2.785,12.077,11.977000499999999,11.899999999999999,25.3,0.83532,0.989,235.0,"{'FK': -2, 'PD_DD': -2, 'ROE': 0, 'KAR': 1, 'BUYUME': 0, 'BORC': 0}",-3,ZAYIF,🔴
KCHOL.IS,190.7,483425.910784,21.995386,6.38006,0.7139541,10.688,,3.125,1.284,0.7979999999999999,6.126,-2.1999999999999997,,1.24044,0.872,361.0,"{'FK': 0, 'PD_DD': 2, 'ROE': -1, 'KAR': -1, 'BUYUME': -2, 'BORC': -1}",-3,ZAYIF,🔴
EREGL.IS,27.04,181759.524864,338.00003,4.389611,0.5532934,10.847,,0.25600002,1.079,0.245,9.302000000000001,10.7,,0.5326299999999999,2.144,93.0,"{'FK': -2, 'PD_DD': 2, 'ROE': -1, 'KAR': -1, 'BUYUME': 0, 'BORC': 1}",-1,NÖTR,🟡
ASELS.IS,331.5,1511640.006656,50.53354,16.712233,6.0361624,33.218,,13.697999999999999,6.893000000000001,16.598,25.97,17.2,54.6,0.17104,1.386,7.000000000000001,"{'FK': -2, 'PD_DD': -1, 'ROE': 0, 'KAR': 1, 'BUYUME': 1, 'BORC': 2}",1,İYİ,🟢
BIMAS.IS,676.0,401543.9872,21.743326,12.711546,2.4204752,15.22,,11.628000400000001,3.182,2.5840001,4.0009998,9.5,25.0,0.31555,1.029,252.99999999999997,"{'FK': 0, 'PD_DD': 0, 'ROE': 0, 'KAR': -1, 'BUYUME': 0, 'BORC': 1}",0,NÖTR,🟡
SAHOL.IS,88.55,183106.797568,47.864864,3.1990607,0.50766516,,,1.2519999,0.18799998999999998,1.4880001,,24.9,,,,157.0,"{'FK': -2, 'PD_DD': 2, 'ROE': -1, 'KAR': -1, 'BUYUME': 1, 'BORC': 0}",-1,NÖTR,🟡
SISE.IS,45.02,137905.897472,12.753541,4.2391715,0.55578876,18.548,,3.524,-0.0089999994,4.399,6.788000499999999,1.7000000000000002,,0.60137,1.26,130.0,"{'FK': 1, 'PD_DD': 2, 'ROE': -1, 'KAR': -1, 'BUYUME': -1, 'BORC': 0}",0,NÖTR,🟡
AKBNK.IS,66.75,347099.987968,6.06267,3.81865,1.1190089,,,20.788,1.8419999999999999,30.086002,,63.2,98.6,,,327.0,"{'FK': 2, 'PD_DD': 1, 'ROE': 1, 'KAR': 2, 'BUYUME': 2, 'BORC': 0}",8,GÜÇLÜ,✅
GARAN.IS,126.5,531299.991552,4.8374763,3.7381797,1.1964211,,,28.599999999999998,2.947,33.395,,36.6,5.7,,,416.0,"{'FK': 2, 'PD_DD': 1, 'ROE': 1, 'KAR': 2, 'BUYUME': 2, 'BORC': 0}",8,GÜÇLÜ,✅
YKBNK.IS,33.08,279428.46464,5.9389586,3.4857748,1.0931923,,,21.004,1.55,25.094,,70.0,40.400000000000006,,,,"{'FK': 2, 'PD_DD': 1, 'ROE': 1, 'KAR': 2, 'BUYUME': 2, 'BORC': 0}",8,GÜÇLÜ,✅
TUPRS.IS,238.1,458770.055168,15.541776,11.480232,1.260015,6.032,,8.0249995,5.7140004,3.5550002,8.225999999999999,-11.4,30.9,0.13757999999999998,1.396,562.0,"{'FK': 0, 'PD_DD': 1, 'ROE': 0, 'KAR': -1, 'BUYUME': -2, 'BORC': 2}",0,NÖTR,🟡
ARCLK.IS,110.2,72308.375552,,7.1465626,0.95869434,9.919,,-11.253,0.398,-1.595,4.0700004,-9.2,,3.1077999999999997,0.971,,"{'FK': 0, 'PD_DD': 2, 'ROE': -2, 'KAR': -2, 'BUYUME': -2, 'BORC': -2}",-6,ÇOK ZAYIF,❌
TOASO.IS,275.75,137874.997248,114.89583,8.695995,2.29673,24.067,,13.730999999999998,0.9490000000000001,2.5139999,2.1229999999999998,200.2,3961.6,0.89402,1.701,734.0,"{'FK': -2, 'PD_DD': 0, 'ROE': 0, 'KAR': -1, 'BUYUME': 2, 'BORC': 0}",-1,NÖTR,🟡
FROTO.IS,102.8,360735.506432,10.608876,0.55982137,2.3120866,8.612,,22.152,5.672,4.091,6.455,3.8,-30.2,1.06046,1.237,944.0,"{'FK': 1, 'PD_DD': 0, 'ROE': 1, 'KAR': -1, 'BUYUME': -1, 'BORC': -1}",-1,NÖTR,🟡
PGSUS.IS,175.9,87950.000128,6.39869,4.8524137,0.7526486,12.548,,14.34,3.1710000000000003,8.9209996,12.934999999999999,43.0,-78.4,1.99552,1.025,,"{'FK': 2, 'PD_DD': 2, 'ROE': 0, 'KAR': 0, 'BUYUME': 2, 'BORC': -1}",5,GÜÇLÜ,✅
TCELL.IS,106.1,231142.719488,12.986536,8.460925,0.8898692,2.774,,7.059,9.078999999999999,7.290000000000001,42.018001999999996,7.3999999999999995,23.7,0.61176,1.703,377.0,"{'FK': 1, 'PD_DD': 2, 'ROE': 0, 'KAR': 0, 'BUYUME': 0, 'BORC': 0}",3,İYİ,🟢
EKGYO.IS,19.24,70476.562432,10.239362,962.5,0.55923533,3.951,,5.323,6.219,6.013,27.247998000000003,125.0,,0.36674,1.927,303.0,"{'FK': 1, 'PD_DD': 2, 'ROE': 0, 'KAR': 0, 'BUYUME': 2, 'BORC': 1}",6,GÜÇLÜ,✅
PETKM.IS,19.64,49775.616,,4.6985645,0.77819157,-11.809,,-14.625,-5.529,-11.489,-9.042,0.8999999999999999,,0.8038599999999999,0.561,,"{'FK': 0, 'PD_DD': 2, 'ROE': -2, 'KAR': -2, 'BUYUME': -1, 'BORC': 0}",-3,ZAYIF,🔴
VESTL.IS,27.76,9312.26624,,2.9753485,0.34645867,-20.863,,-59.955999999999996,-3.18,-21.468999999999998,-3.7479999999999998,-44.0,,2.63013,0.459,,"{'FK': 0, 'PD_DD': 2, 'ROE': -2, 'KAR': -2, 'BUYUME': -2, 'BORC': -2}",-6,ÇOK ZAYIF,❌
