zaman,sembol,fiyat,karar,guven,rsi,fiyat_giris,hedef,stop,ml_karar,lstm_karar,lstm_onay,fiyat_cikis,kar_zarar,sonuc
28.03.2026 14:04,AKBNK.IS,66.9,BEKLE,0.427,33.9,,,,,,,,,
28.03.2026 14:04,GARAN.IS,126.5,SAT,0.485,34.0,,,,,,,,,
28.03.2026 14:04,YKBNK.IS,33.18,AL,0.478,33.8,,,,,,,,,
28.03.2026 14:04,EKGYO.IS,19.27,AL,0.463,32.4,,,,,,,,,
28.03.2026 14:04,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:04,TCELL.IS,106.4,BEKLE,0.504,39.1,,,,,,,,,
28.03.2026 14:04,SISE.IS,44.88,SAT,0.475,62.1,,,,,,,,,
28.03.2026 14:04,FROTO.IS,103.8,BEKLE,0.419,42.4,,,,,,,,,
28.03.2026 14:09,AKBNK.IS,66.9,BEKLE,0.427,33.9,,,,,,,,,
28.03.2026 14:09,GARAN.IS,126.5,SAT,0.485,34.0,,,,,,,,,
28.03.2026 14:09,YKBNK.IS,33.18,AL,0.478,33.8,,,,,,,,,
28.03.2026 14:09,EKGYO.IS,19.27,AL,0.463,32.4,,,,,,,,,
28.03.2026 14:09,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:09,TCELL.IS,106.4,BEKLE,0.504,39.1,,,,,,,,,
28.03.2026 14:09,SISE.IS,44.88,SAT,0.475,62.1,,,,,,,,,
28.03.2026 14:09,FROTO.IS,103.8,BEKLE,0.419,42.4,,,,,,,,,
28.03.2026 14:14,AKBNK.IS,66.9,BEKLE,0.427,33.9,,,,,,,,,
28.03.2026 14:14,GARAN.IS,126.5,SAT,0.485,34.0,,,,,,,,,
28.03.2026 14:14,YKBNK.IS,33.18,AL,0.478,33.8,,,,,,,,,
28.03.2026 14:14,EKGYO.IS,19.27,AL,0.463,32.4,,,,,,,,,
28.03.2026 14:14,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:14,TCELL.IS,106.4,BEKLE,0.504,39.1,,,,,,,,,
28.03.2026 14:14,SISE.IS,44.88,SAT,0.475,62.1,,,,,,,,,
28.03.2026 14:14,FROTO.IS,103.8,BEKLE,0.419,42.4,,,,,,,,,
28.03.2026 14:18,AKBNK.IS,66.9,BEKLE,0.414,33.9,,,,,,,,,
28.03.2026 14:18,GARAN.IS,126.5,SAT,0.484,34.0,,,,,,,,,
28.03.2026 14:18,YKBNK.IS,33.18,AL,0.458,33.8,,,,,,,,,
28.03.2026 14:18,EKGYO.IS,19.27,AL,0.458,32.4,,,,,,,,,
28.03.2026 14:18,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:18,TCELL.IS,106.4,BEKLE,0.496,39.1,,,,,,,,,
28.03.2026 14:18,SISE.IS,44.88,SAT,0.475,62.1,,,,,,,,,
28.03.2026 14:18,FROTO.IS,103.8,BEKLE,0.42,42.4,,,,,,,,,
28.03.2026 14:22,AKBNK.IS,66.9,BEKLE,0.416,33.9,,,,,,,,,
28.03.2026 14:22,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 14:22,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 14:22,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:22,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:22,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:22,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:22,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:27,AKBNK.IS,66.9,BEKLE,0.416,33.9,,,,,,,,,
28.03.2026 14:27,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 14:27,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 14:27,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:27,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:27,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:27,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:27,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:32,AKBNK.IS,66.9,BEKLE,0.416,33.9,,,,,,,,,
28.03.2026 14:32,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 14:32,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 14:32,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:32,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:32,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:32,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:32,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:37,AKBNK.IS,66.9,BEKLE,0.416,33.9,,,,,,,,,
28.03.2026 14:37,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 14:37,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 14:37,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:37,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:37,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:37,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:37,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:42,AKBNK.IS,66.9,BEKLE,0.416,33.9,,,,,,,,,
28.03.2026 14:42,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 14:42,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 14:42,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:42,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:42,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:42,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:42,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:45,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:45,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:45,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:45,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:45,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:45,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:45,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:45,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:50,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:50,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:50,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:50,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:50,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:50,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:50,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:50,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:55,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:55,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:55,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:55,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:55,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:55,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:55,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:55,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:59,AKBNK.IS,66.9,BEKLE,0.421,33.9,,,,,,,,,
28.03.2026 14:59,GARAN.IS,126.5,BEKLE,0.487,34.0,,,,,,,,,
28.03.2026 14:59,YKBNK.IS,33.18,BEKLE,0.478,33.8,,,,,,,,,
28.03.2026 14:59,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 14:59,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:59,TCELL.IS,106.4,BEKLE,0.514,39.1,,,,,,,,,
28.03.2026 14:59,SISE.IS,44.88,BEKLE,0.455,62.1,,,,,,,,,
28.03.2026 14:59,FROTO.IS,103.8,BEKLE,0.413,42.4,,,,,,,,,
28.03.2026 15:02,AKBNK.IS,66.9,BEKLE,0.43,33.9,,,,,,,,,
28.03.2026 15:02,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 15:02,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 15:02,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 15:02,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:02,TCELL.IS,106.4,BEKLE,0.518,39.1,,,,,,,,,
28.03.2026 15:02,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 15:02,FROTO.IS,103.8,BEKLE,0.426,42.4,,,,,,,,,
28.03.2026 15:08,AKBNK.IS,66.9,BEKLE,0.426,33.9,,,,,,,,,
28.03.2026 15:08,GARAN.IS,126.5,BEKLE,0.442,34.0,,,,,,,,,
28.03.2026 15:08,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 15:08,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 15:08,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:08,TCELL.IS,106.4,BEKLE,0.515,39.1,,,,,,,,,
28.03.2026 15:08,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:08,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 15:11,AKBNK.IS,66.9,BEKLE,0.414,33.9,,,,,,,,,
28.03.2026 15:11,GARAN.IS,126.5,BEKLE,0.449,34.0,,,,,,,,,
28.03.2026 15:11,YKBNK.IS,33.18,BEKLE,0.466,33.8,,,,,,,,,
28.03.2026 15:11,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 15:11,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:11,TCELL.IS,106.4,BEKLE,0.501,39.1,,,,,,,,,
28.03.2026 15:11,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:11,FROTO.IS,103.8,BEKLE,0.413,42.4,,,,,,,,,
28.03.2026 15:17,AKBNK.IS,66.9,BEKLE,0.433,33.9,,,,,,,,,
28.03.2026 15:17,GARAN.IS,126.5,BEKLE,0.498,34.0,,,,,,,,,
28.03.2026 15:17,YKBNK.IS,33.18,BEKLE,0.451,33.8,,,,,,,,,
28.03.2026 15:17,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 15:17,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:17,TCELL.IS,106.4,BEKLE,0.51,39.1,,,,,,,,,
28.03.2026 15:17,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:17,FROTO.IS,103.8,BEKLE,0.411,42.4,,,,,,,,,
06.04.2026 16:29,AKBNK.IS,70.7,AL,0.388,39.1,,,,,,,,,
06.04.2026 16:29,GARAN.IS,135.3,SAT,0.582,37.0,,,,,,,,,
06.04.2026 16:29,YKBNK.IS,35.22,SAT,0.554,42.4,,,,,,,,,
06.04.2026 16:29,EKGYO.IS,19.8,AL,0.465,38.9,,,,,,,,,
06.04.2026 16:29,PGSUS.IS,178.7,AL,0.434,43.6,,,,,,,,,
06.04.2026 16:29,TCELL.IS,108.5,SAT,0.434,44.2,,,,,,,,,
06.04.2026 16:29,SISE.IS,45.06,SAT,0.419,51.2,,,,,,,,,
06.04.2026 16:29,FROTO.IS,100.5,SAT,0.474,42.7,,,,,,,,,
07.04.2026 02:34,YKBNK.IS,,SAT,0.659,35.3,35.14,,,SAT,AL,False,,,
07.04.2026 02:34,PGSUS.IS,,AL,0.664,36.6,178.4,191.3,170.66,AL,AL,True,,,
07.04.2026 02:34,EKGYO.IS,,AL,0.66,33.2,19.87,21.95,18.62,AL,AL,True,,,
07.04.2026 02:34,TUPRS.IS,,AL,0.573,63.3,256.5,284.79,239.53,AL,—,False,,,
07.04.2026 02:34,ASELS.IS,,AL,0.705,46.9,337.0,371.94,316.03,AL,—,False,,,
07.04.2026 02:34,AKBNK.IS,,BEKLE,0.411,32.2,70.3,,,BEKLE,AL,False,,,
07.04.2026 02:34,GARAN.IS,,BEKLE,0.419,32.5,135.6,,,BEKLE,BEKLE,False,,,
07.04.2026 02:34,TCELL.IS,,BEKLE,0.476,41.0,108.6,,,BEKLE,—,False,,,
07.04.2026 02:34,SISE.IS,,BEKLE,0.507,48.9,44.8,,,BEKLE,—,False,,,
07.04.2026 02:34,FROTO.IS,,BEKLE,0.472,39.7,100.4,,,BEKLE,—,False,,,
07.04.2026 02:34,EREGL.IS,,BEKLE,0.59,48.2,30.06,,,BEKLE,—,False,,,
07.04.2026 02:34,THYAO.IS,,BEKLE,0.49,48.2,297.25,,,BEKLE,AL,False,,,
07.04.2026 03:01,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:01,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:01,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:01,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:01,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:01,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:01,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:01,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:06,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:06,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:06,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:06,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:06,PGSUS.IS,178.4,BEKLE,0.435,36.6
