zaman,sembol,karar,guven,fiyat_giris,rsi,hedef,stop,ml_karar,lstm_karar,lstm_onay,fiyat_cikis,kar_zarar,sonuc
27.04.2026 10:35,AKBNK.IS,AL,0.54,77.8,60.8,85.55,73.15,AL,—,False,,,
27.04.2026 10:35,GARAN.IS,SAT,0.531,137.2,57.8,,,SAT,—,False,,,
27.04.2026 10:35,YKBNK.IS,SAT,0.532,37.56,58.4,,,SAT,—,False,,,
27.04.2026 10:35,PGSUS.IS,AL,0.436,187.8,55.1,202.28,179.11,AL,—,False,,,
27.04.2026 10:35,TCELL.IS,SAT,0.433,114.0,54.6,,,SAT,—,False,,,
27.04.2026 10:35,EKGYO.IS,SAT,0.425,21.22,52.6,,,SAT,—,False,,,
27.04.2026 10:35,SISE.IS,SAT,0.443,48.02,55.3,,,SAT,—,False,,,
27.04.2026 10:35,FROTO.IS,SAT,0.581,103.9,47.0,,,SAT,—,False,,,
27.04.2026 10:35,ASELS.IS,SAT,0.66,400.75,62.5,,,SAT,—,False,,,
27.04.2026 10:35,EREGL.IS,BEKLE,0.563,33.26,68.3,,,BEKLE,—,False,,,
27.04.2026 10:35,TUPRS.IS,BEKLE,0.383,272.5,51.1,,,BEKLE,—,False,,,
27.04.2026 10:35,THYAO.IS,BEKLE,0.502,323.75,63.1,,,BEKLE,—,False,,,
27.04.2026 10:40,AKBNK.IS,AL,0.532,77.8,60.8,85.55,73.15,AL,—,False,,,
27.04.2026 10:40,GARAN.IS,SAT,0.544,137.1,57.8,,,SAT,—,False,,,
27.04.2026 10:40,YKBNK.IS,SAT,0.532,37.54,58.4,,,SAT,—,False,,,
27.04.2026 10:40,PGSUS.IS,AL,0.436,187.8,55.1,202.28,179.11,AL,—,False,,,
27.04.2026 10:40,TCELL.IS,SAT,0.446,114.0,54.6,,,SAT,—,False,,,
27.04.2026 10:40,EKGYO.IS,SAT,0.425,21.18,52.6,,,SAT,—,False,,,
27.04.2026 10:40,SISE.IS,SAT,0.453,47.96,55.3,,,SAT,—,False,,,
27.04.2026 10:40,FROTO.IS,SAT,0.561,103.9,47.0,,,SAT,—,False,,,
27.04.2026 10:40,ASELS.IS,SAT,0.668,400.25,62.5,,,SAT,—,False,,,
27.04.2026 10:40,EREGL.IS,BEKLE,0.54,33.2,68.3,,,BEKLE,—,False,,,
27.04.2026 10:40,TUPRS.IS,BEKLE,0.368,274.0,51.1,,,BEKLE,—,False,,,
27.04.2026 10:40,THYAO.IS,BEKLE,0.559,323.75,63.1,,,BEKLE,—,False,,,
27.04.2026 10:44,AKBNK.IS,AL,0.549,77.8,60.8,85.55,73.15,AL,—,False,,,
27.04.2026 10:44,GARAN.IS,SAT,0.551,137.3,57.8,,,SAT,—,False,,,
